geometry,lat,lon,name,facility_type,category,priority,addr:street,addr:city,addr:postcode,phone,website,opening_hours,operator,capacity,building
POINT (112.7372508 -7.2817343),-7.2817343,112.7372508,SD Katholik Karitas 1,school,education,2,,,,,,,,,
POINT (112.7369785 -7.2800655),-7.2800655,112.7369785,SD Kristen Petra 1,school,education,2,Jl. WR. Supratman,Surabaya,60264,,,Mo-Fr 07:00-17:00,,,
POINT (112.7372796 -7.2817882),-7.2817882,112.7372796,TK Katholik Karitas 1,kindergarten,education,2,,,,,,,,,
POINT (112.7367425 -7.2800295),-7.2800295,112.7367425,TK Kristen Petra 1,kindergarten,education,2,,,,,,,,,
POINT (112.7409288 -7.2573574),-7.2573574,112.7409288,Posyandu Genteng,clinic,healthcare,1,,,,,,,,,
POINT (112.768868 -7.3073037),-7.3073037,112.768868,IPH School Playgrup,kindergarten,education,2,,,,,,,,,
POINT (112.7622111 -7.2507665),-7.2507665,112.7622111,PAUD Kartini,kindergarten,education,2,,,,,,,,,
POINT (112.7636938 -7.2520517),-7.2520517,112.7636938,PAUD Melati I,kindergarten,education,2,,,,,,,,,
POINT (112.760249 -7.2501395),-7.2501395,112.760249,Poliklinik Noor Mushola,clinic,healthcare,1,,,,,,,,,
POINT (112.7736956 -7.252788),-7.252788,112.7736956,Posyandu Ceria,clinic,healthcare,1,,,,,,,,,
POINT (112.7604488 -7.2501528),-7.2501528,112.7604488,Rumah Bersalin Noor Mushola,clinic,healthcare,1,,,,,,,,,
POINT (112.7636824 -7.2520896),-7.2520896,112.7636824,TK Gembira,kindergarten,education,2,,,,,,,,,
POINT (112.7731069 -7.2498299),-7.2498299,112.7731069,TK Mekar,kindergarten,education,2,,,,,,,,,
POINT (112.7735286 -7.2518938),-7.2518938,112.7735286,TK Tunas Sakti,kindergarten,education,2,,,,,,,,50-100,
POINT (112.7557466 -7.2469988),-7.2469988,112.7557466,TK Kristen Bathel Surabaya,kindergarten,education,2,,,,,,,,,
POINT (112.6500261 -7.2977777),-7.2977777,112.6500261,Stephen,dentist,healthcare,1,,,,+6289651316867,,,,,
POINT (112.7822079 -7.3049728),-7.3049728,112.7822079,SD Negeri Medokan Semampir 1,school,education,2,,,,,,,,,
POINT (112.7500691 -7.2324705),-7.2324705,112.7500691,MI Ibnu Husein,school,education,2,,,,,,,,,
POINT (112.7502938 -7.2311169),-7.2311169,112.7502938,MTs Ibnu Husein,school,education,2,,,,,,,,,
POINT (112.7521569 -7.2308866),-7.2308866,112.7521569,PAUD Dewi Sartika,kindergarten,education,2,,,,,,,,,
POINT (112.7546835 -7.2295238),-7.2295238,112.7546835,PAUD Mentari,kindergarten,education,2,,,,,,,,,
POINT (112.7546258 -7.229555),-7.229555,112.7546258,TK Budi Laksana Jaya,kindergarten,education,2,,,,,,,,,
POINT (112.7471274 -7.2281115),-7.2281115,112.7471274,,kindergarten,education,2,,,,,,,,,
POINT (112.7725218 -7.228654),-7.228654,112.7725218,PAUD AL- Hikmah,kindergarten,education,2,,,,,,,,,
POINT (112.7823898 -7.223835),-7.223835,112.7823898,Posyandu Tresnojoyo,clinic,healthcare,1,,,,,,,,,
POINT (112.7365239 -7.2774634),-7.2774634,112.7365239,Kantor Kelurahan Dr. Soetomo,government,government,3,,,,,,,,,
POINT (112.7368282 -7.2784328),-7.2784328,112.7368282,Pos PAUD Terpadu MELATI,kindergarten,education,2,,,,,,,,,
POINT (112.7828128 -7.2234133),-7.2234133,112.7828128,"KB, TK dan SD IT Ar-Rahmah",school,education,2,,,,,,,,,
POINT (112.7453886 -7.2495595),-7.2495595,112.7453886,SD/MI Hidayatul Wathon,school,education,2,,,,,,,,,
POINT (112.7330337 -7.2680764),-7.2680764,112.7330337,TK Al Ishlah,kindergarten,education,2,,,,,,,,,
POINT (112.7331879 -7.2664457),-7.2664457,112.7331879,TK Surabayan,kindergarten,education,2,,,,,,,,,
POINT (112.7484499 -7.2425691),-7.2425691,112.7484499,TK Gotong Royong,kindergarten,education,2,,,,,,,,,
POINT (112.7445789 -7.22851),-7.22851,112.7445789,PPT Mutiara Hati,kindergarten,education,2,,,,,,,,,
POINT (112.744542 -7.2285213),-7.2285213,112.744542,Posyandu Kemuning,clinic,healthcare,1,,,,,,,,,
POINT (112.7441682 -7.2302399),-7.2302399,112.7441682,TK Kurnia Sari,kindergarten,education,2,,,,,,,,,
POINT (112.7620354 -7.2183042),-7.2183042,112.7620354,Posyandu,clinic,healthcare,1,,,,,,,,,
POINT (112.7620358 -7.2182852),-7.2182852,112.7620358,TK Handayani,kindergarten,education,2,,,,,,,,,
POINT (112.760987 -7.2381832),-7.2381832,112.760987,TK Ade Erma Suryani,kindergarten,education,2,,,,,,,,,
POINT (112.7601099 -7.2367224),-7.2367224,112.7601099,TK Granting Baru,kindergarten,education,2,,,,,,,,,
POINT (112.6355625 -7.3033523),-7.3033523,112.6355625,PAUD RW 01 Kel. Lakarsantri,kindergarten,education,2,,,,,,,,,
POINT (112.6324254 -7.3010011),-7.3010011,112.6324254,PAUD RW 02 Kel. Lakarsantri,kindergarten,education,2,,,,,,,,,
POINT (112.6351964 -7.2963792),-7.2963792,112.6351964,PAUD RW 03 Kel. Lakarsantri,kindergarten,education,2,,,,,,,,,
POINT (112.6351709 -7.2963932),-7.2963932,112.6351709,Posyandu RW 03 Kel. Lakarsantri,clinic,healthcare,1,,,,,,,,,
POINT (112.6431565 -7.3037028),-7.3037028,112.6431565,PAUD RW 2 Jeruk,kindergarten,education,2,,,,,,,,,
POINT (112.6432075 -7.3036875),-7.3036875,112.6432075,Posyandu Balita RW 2 Kel. Jeruk,clinic,healthcare,1,,,,,,,,,
POINT (112.7570498 -7.2299329),-7.2299329,112.7570498,Melati II,clinic,healthcare,1,,,,,,,,,
POINT (112.7550063 -7.2261378),-7.2261378,112.7550063,Sri Rejeki 1,clinic,healthcare,1,,,,,,,,,
POINT (112.7550552 -7.2261404),-7.2261404,112.7550552,PAUD Cahaya Bunda,kindergarten,education,2,,,,,,,,,
POINT (112.7549782 -7.2261571),-7.2261571,112.7549782,TK Kusuma,kindergarten,education,2,,,,,,,,,
POINT (112.7681951 -7.2194538),-7.2194538,112.7681951,PAUD Permata I,kindergarten,education,2,,,,,,,,,
POINT (112.769442 -7.2208036),-7.2208036,112.769442,Posyandu Flamboyan,clinic,healthcare,1,,,,,,,,,
POINT (112.7645292 -7.2195084),-7.2195084,112.7645292,TK Al-Hidayah,kindergarten,education,2,,,,,,,,,
POINT (112.7682032 -7.219396),-7.219396,112.7682032,TK Reka Budi,kindergarten,education,2,,,,,,,,,
POINT (112.6527109 -7.3043746),-7.3043746,112.6527109,Posyandu RW 03 Kel. Lidah Kulon,clinic,healthcare,1,,,,,,,,,
POINT (112.7460782 -7.2383185),-7.2383185,112.7460782,PAUD Kemuning,kindergarten,education,2,,,,,,,,,
POINT (112.7501696 -7.2370896),-7.2370896,112.7501696,TK Taman Baca Masyarakat,kindergarten,education,2,,,,,,,,,
POINT (112.7592241 -7.215821),-7.215821,112.7592241,PAUD Nusa Indah,kindergarten,education,2,,,,,,,,,
POINT (112.7519248 -7.2232214),-7.2232214,112.7519248,PAUD Fajar Gemilang,kindergarten,education,2,,,,,,,,,
POINT (112.7534506 -7.2233448),-7.2233448,112.7534506,PAUD Kusuma Bunda,kindergarten,education,2,,,,,,,,,
POINT (112.753399 -7.2233282),-7.2233282,112.753399,Posyandu Jaya Indah,clinic,healthcare,1,,,,,,,,,
POINT (112.7535521 -7.2147588),-7.2147588,112.7535521,Posyandu Mekarsari,clinic,healthcare,1,,,,,,,,,
POINT (112.7538066 -7.2207868),-7.2207868,112.7538066,TK Budi Luhur,kindergarten,education,2,,,,,,,,,
POINT (112.7520281 -7.223266),-7.223266,112.7520281,TK Kencana,kindergarten,education,2,,,,,,,,,
POINT (112.7545688 -7.219689),-7.219689,112.7545688,TK Widya Bhakti,kindergarten,education,2,,,,,,,,,
POINT (112.7427652 -7.2248428),-7.2248428,112.7427652,TK Al Azhar,kindergarten,education,2,,,,,,,,,
POINT (112.7427147 -7.2248409),-7.2248409,112.7427147,Posyandu Anak Smilebaby,clinic,healthcare,1,,,,,,,,,
POINT (112.7426843 -7.22484),-7.22484,112.7426843,Posyandu Lansia Udang,clinic,healthcare,1,,,,,,,,,
POINT (112.7485198 -7.2189399),-7.2189399,112.7485198,PAUD Harapan Bunda,kindergarten,education,2,,,,,,,,,
POINT (112.748533 -7.2188914),-7.2188914,112.748533,TK Kuntum Harapan,kindergarten,education,2,,,,,,,,,
POINT (112.7448334 -7.2225748),-7.2225748,112.7448334,PAUD Mekar Sari,kindergarten,education,2,,,,,,,,,
POINT (112.731612 -7.2335476),-7.2335476,112.731612,PAUD Anak Indonesia,kindergarten,education,2,,,,,,,,,
POINT (112.7316144 -7.2362914),-7.2362914,112.7316144,PAUD Kenanga / TK Dewi Sartika,kindergarten,education,2,,,,,,,,250-500,
POINT (112.7348737 -7.2503291),-7.2503291,112.7348737,Posyandu Melati,clinic,healthcare,1,,,,,,,,,
POINT (112.7299109 -7.2532912),-7.2532912,112.7299109,TK Aisyah Bustanul Athfal,kindergarten,education,2,,,,,,,,,
POINT (112.6504357 -7.3174988),-7.3174988,112.6504357,PAUD,kindergarten,education,2,,,,,,,,,
POINT (112.6775359 -7.3278364),-7.3278364,112.6775359,PAUD Terpadu Mitra Pertiwi,kindergarten,education,2,,,,,,,,,
POINT (112.6679018 -7.326997),-7.326997,112.6679018,PAUD Tunas Bangsa,kindergarten,education,2,,,,,,,,,
POINT (112.6679038 -7.3269704),-7.3269704,112.6679038,Posyandu Balita Melati 4 dan Lansia,clinic,healthcare,1,,,,,,,,,
POINT (112.6775352 -7.3277938),-7.3277938,112.6775352,Posyandu Melati 1,clinic,healthcare,1,,,,,,,,,
POINT (112.7224087 -7.2779899),-7.2779899,112.7224087,Posyandu Beringin 5,clinic,healthcare,1,,,,,,,,,
POINT (112.7224027 -7.2779749),-7.2779749,112.7224027,PAUD Kasih Ibu,kindergarten,education,2,,,,,,,,,
POINT (112.7177541 -7.2848706),-7.2848706,112.7177541,PAUD Kasih Bunda,kindergarten,education,2,,,,,,,,,
POINT (112.7259245 -7.2885852),-7.2885852,112.7259245,PAUD Mawar,kindergarten,education,2,,,,,,,,,
POINT (112.7225439 -7.2898653),-7.2898653,112.7225439,PPT Cahaya Mentari,kindergarten,education,2,,,,,,,,,
POINT (112.7285004 -7.2842004),-7.2842004,112.7285004,Posyandu Pagulanstar,clinic,healthcare,1,,,,,,,,,
POINT (112.7225647 -7.2898002),-7.2898002,112.7225647,Posyandu Sartika,clinic,healthcare,1,,,,,,,,,
POINT (112.7264693 -7.2889846),-7.2889846,112.7264693,TK Berita Hidup,kindergarten,education,2,,,,,,,,,
POINT (112.7172746 -7.2745634),-7.2745634,112.7172746,Pos PAUD Terpadu Srikandi Ceria,kindergarten,education,2,,,,,,,,,
POINT (112.7224768 -7.2813588),-7.2813588,112.7224768,PAUD Pelita Kartini,kindergarten,education,2,,,,,,,,,
POINT (112.7223595 -7.2358207),-7.2358207,112.7223595,Posyandu Kelurahan Morokrembangan,clinic,healthcare,1,,,,,,,,,
POINT (112.6533526 -7.3241852),-7.3241852,112.6533526,PAUD Melati,kindergarten,education,2,,,,,,,,,
POINT (112.7253472 -7.2557591),-7.2557591,112.7253472,TK & SD K. Abdullah Ubaid,school,education,2,,,,,,,,,
POINT (112.7185498 -7.2486397),-7.2486397,112.7185498,TK & SD RW X Demak Jaya,school,education,2,,,,,,,,,
POINT (112.7139116 -7.2724868),-7.2724868,112.7139116,PAUD Bunga Bangsa,kindergarten,education,2,,,,,,,,,
POINT (112.7236708 -7.2472592),-7.2472592,112.7236708,PAUD Cahaya,kindergarten,education,2,,,,,,,,,
POINT (112.7248818 -7.2509204),-7.2509204,112.7248818,TK Margodadi,kindergarten,education,2,,,,,,,,,
POINT (112.7285041 -7.2476091),-7.2476091,112.7285041,PAUD Harapan Bangsa,kindergarten,education,2,,,,,,,,,
POINT (112.7285148 -7.2476124),-7.2476124,112.7285148,TK Gundih,kindergarten,education,2,,,,,,,,,
POINT (112.7314081 -7.2419337),-7.2419337,112.7314081,TK Kemayoran Baru,kindergarten,education,2,,,,,,,,,
POINT (112.7272948 -7.251069),-7.251069,112.7272948,PAUD Little Star,kindergarten,education,2,,,,,,,,,
POINT (112.7258081 -7.2750855),-7.2750855,112.7258081,TK Banyu Urip,kindergarten,education,2,,,,,,,,,
POINT (112.7257357 -7.2750343),-7.2750343,112.7257357,PAUD Pertiwi,kindergarten,education,2,,,,,,,,,
POINT (112.7248039 -7.2770778),-7.2770778,112.7248039,PAUD Perintis,kindergarten,education,2,,,,,,,,,
POINT (112.7277564 -7.2441055),-7.2441055,112.7277564,POS PAUD Mandiri,kindergarten,education,2,,,,,,,,,
POINT (112.7222012 -7.2421262),-7.2421262,112.7222012,"RA , TK & SD Tunas Harapan",school,education,2,,,,,,,,,
POINT (112.7170014 -7.2592904),-7.2592904,112.7170014,PAUD Bintang,kindergarten,education,2,,,,,,,,,
POINT (112.7217693 -7.2616763),-7.2616763,112.7217693,PAUD Putra Gembira,kindergarten,education,2,,,,,,,,,
POINT (112.7193063 -7.2571204),-7.2571204,112.7193063,PAUD Tunas Unggul,kindergarten,education,2,,,,,,,,,
POINT (112.7219504 -7.2665784),-7.2665784,112.7219504,Posyandu Lansia,clinic,healthcare,1,,,,,,,,,
POINT (112.7165367 -7.2707937),-7.2707937,112.7165367,TK Tunas Bangsa,kindergarten,education,2,,,,,,,,,
POINT (112.7238963 -7.2738666),-7.2738666,112.7238963,PAUD Ananda,kindergarten,education,2,,,,,,,,,
POINT (112.7137518 -7.2702756),-7.2702756,112.7137518,TK Andayani,kindergarten,education,2,,,,,,,,,
POINT (112.7137203 -7.2702643),-7.2702643,112.7137203,Pos PAUD Terpadu Mawar Ceria,kindergarten,education,2,,,,,,,,,
POINT (112.6545382 -7.2874401),-7.2874401,112.6545382,,dentist,healthcare,1,,,,+62317413411,,,,,
POINT (112.7294551 -7.233656),-7.233656,112.7294551,,pharmacy,healthcare,1,,,,,,,,,
POINT (112.7608875 -7.3235937),-7.3235937,112.7608875,PAUD Mutiara Bunda,kindergarten,education,2,,,,,,,,,
POINT (112.7575915 -7.3225487),-7.3225487,112.7575915,PAUD Tunas Harapan,kindergarten,education,2,,,,,,,,,
POINT (112.7575667 -7.3225926),-7.3225926,112.7575667,Posyandu Lengkuas,clinic,healthcare,1,,,,,,,,,
POINT (112.7206015 -7.2687835),-7.2687835,112.7206015,TK Putera Bangsa,kindergarten,education,2,,,,,,,,,
POINT (112.6554641 -7.2637963),-7.2637963,112.6554641,PAUD Kenanga,kindergarten,education,2,,,,,,,,,
POINT (112.6554682 -7.2637591),-7.2637591,112.6554682,Posyandu Kenanga,clinic,healthcare,1,,,,,,,,,
POINT (112.6289821 -7.2482424),-7.2482424,112.6289821,Posyandu Lansia Harapan Pertiwi,clinic,healthcare,1,,,,,,,,,
POINT (112.6289687 -7.2481925),-7.2481925,112.6289687,PAUD Permata,kindergarten,education,2,,,,,,,,,
POINT (112.7508645 -7.3371454),-7.3371454,112.7508645,Gereja Eleos Surabaya,place_of_worship,community,4,,,,,,,,,
POINT (112.7462573 -7.3363237),-7.3363237,112.7462573,PAUD Dan TK Mawar,kindergarten,education,2,,,,,,,,,
POINT (112.6719081 -7.2594481),-7.2594481,112.6719081,Pasar Sikatan,marketplace,community,4,,,,,,,,,
POINT (112.6108584 -7.2427066),-7.2427066,112.6108584,PAUD Beji Bersemi,kindergarten,education,2,,,,,,,,,
POINT (112.6252035 -7.236609),-7.236609,112.6252035,PAUD Ceria,kindergarten,education,2,,,,,,,,,
POINT (112.6204017 -7.2373497),-7.2373497,112.6204017,PAUD Pelangi,kindergarten,education,2,,,,,,,,,
POINT (112.6204419 -7.237383),-7.237383,112.6204419,Posyandu Gotong Royong I,clinic,healthcare,1,,,,,,,,,
POINT (112.6203802 -7.237383),-7.237383,112.6203802,Posyandu Lansia Anugerah,clinic,healthcare,1,,,,,,,,,
POINT (112.6204231 -7.2374215),-7.2374215,112.6204231,TK Kartini,kindergarten,education,2,,,,,,,,,
POINT (112.6313996 -7.2378039),-7.2378039,112.6313996,PAUD Dahlia,kindergarten,education,2,,,,,,,,,
POINT (112.6857734 -7.2806226),-7.2806226,112.6857734,Edupac,school,education,2,,,,,,,,,
POINT (112.6137223 -7.2317978),-7.2317978,112.6137223,Pos PAUD Terpadu Bhakti Bunda,kindergarten,education,2,,,,,,,,,
POINT (112.6137599 -7.2318005),-7.2318005,112.6137599,Posyandu Lansia Senja Bahagia,clinic,healthcare,1,,,,,,,,,
POINT (112.7213524 -7.2732524),-7.2732524,112.7213524,TK Kartini II,kindergarten,education,2,,,,,,,,,
POINT (112.6152002 -7.2344455),-7.2344455,112.6152002,Poskesdes Benowo Ceria,clinic,healthcare,1,,,,,,,,,
POINT (112.6152169 -7.2343983),-7.2343983,112.6152169,Posyandu Lansia Melati,clinic,healthcare,1,,,,,,,,,
POINT (112.7219675 -7.325543),-7.325543,112.7219675,Posyandu Melati 5,clinic,healthcare,1,,,,,,,,,
POINT (112.6512048 -7.2491643),-7.2491643,112.6512048,TK Al Multazam,kindergarten,education,2,,,,,,,,,
POINT (112.6530981 -7.2852063),-7.2852063,112.6530981,Doktor umum,doctors,healthcare,1,,,,,,,,,
POINT (112.6508316 -7.2850914),-7.2850914,112.6508316,Fatmawati,dentist,healthcare,1,,,,,,,,,
POINT (112.6531085 -7.2852659),-7.2852659,112.6531085,Apotek Grace Farma,pharmacy,healthcare,1,,,,+62 31 7404868,,,,,
POINT (112.6486318 -7.2919178),-7.2919178,112.6486318,English tutoring,school,education,2,,,,+628818018022,,,,,
POINT (112.6543318 -7.2951874),-7.2951874,112.6543318,Praktek dokter umum,doctors,healthcare,1,,,,,,"Mo-Su 05:00-09:00, 17:00-21:00",,,
POINT (112.727517 -7.3377439),-7.3377439,112.727517,PAUD Kuncup Harapan,kindergarten,education,2,,,,,,,,,
POINT (112.6628369 -7.2592698),-7.2592698,112.6628369,Posyandu Balita Mawar Merah,clinic,healthcare,1,,,,,,,,,
POINT (112.6363864 -7.2621463),-7.2621463,112.6363864,Apotek,pharmacy,healthcare,1,,,,,,24/7,,,
POINT (112.646749 -7.198064),-7.198064,112.646749,TK Kartika Sari,kindergarten,education,2,,,,,,,,,
POINT (112.7228767 -7.3119958),-7.3119958,112.7228767,Musholla RSU Bhakti Rahayu,place_of_worship,community,4,,,,,,,,,
POINT (112.7224062 -7.3406871),-7.3406871,112.7224062,Posyandu Palupi,clinic,healthcare,1,,,,,,,,,
POINT (112.7223767 -7.3406785),-7.3406785,112.7223767,Taman Bermain Kuncup Bahagia,kindergarten,education,2,,,,,,,,,
POINT (112.6684213 -7.2631385),-7.2631385,112.6684213,GSJA Elim,place_of_worship,community,4,,,,,,,,,
POINT (112.66855 -7.2630321),-7.2630321,112.66855,GKI Pos Jemaat Manukan,place_of_worship,community,4,,,,,,,,,
POINT (112.6685071 -7.2633088),-7.2633088,112.6685071,Gereja Pentakosta Infonesia Sidang Tandes,place_of_worship,community,4,,,,,,,,,
POINT (112.6685286 -7.2631811),-7.2631811,112.6685286,Gereja Kristen Setia Indonesia,place_of_worship,community,4,,,,,,,,,
POINT (112.6624319 -7.2620715),-7.2620715,112.6624319,Pasar Darurat (Manukan Kulon),marketplace,community,4,,,,,,,,,
POINT (112.6241829 -7.2362054),-7.2362054,112.6241829,Posyandu Harapan Bangsa,clinic,healthcare,1,,,,,,,Posyandu,,
POINT (112.624182 -7.2361724),-7.2361724,112.624182,PPT Mekar Indah,kindergarten,education,2,,,,,,,,,
